name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1547418,1043792,503626,1548647,1044151,504496
Брянская область,1200187,845152,355035,1205584,848044,357540
Владимирская область,1365805,1068837,296968,1372071,1073063,299008
Воронежская область,2327821,1578606,749215,2330795,1577490,753305
Ивановская область,1004180,819463,184717,1009413,823095,186318
Калужская область,1009380,766763,242617,1010768,768013,242755
Костромская область,637267,461528,175739,640296,463003,177293
Курская область,1107041,754919,352122,1111139,755899,355240
Липецкая область,1144035,738272,405763,1147118,739263,407855
Московская область,7599647,6191384,1408263,7551516,6157478,1394038
Орловская область,739467,493873,245594,743357,496391,246966
Рязанская область,1114137,803703,310434,1117805,804802,313003
Смоленская область,942363,677019,265344,945856,679864,265992
Тамбовская область,1015966,620989,394977,1024759,625143,399616
Тверская область,1269636,964830,304806,1276754,968844,307910
Тульская область,1478818,1106514,372304,1485337,1111128,374209
Ярославская область,1259612,1027720,231892,1262648,1031412,231236
г. Москва,12615279,12432531,182748,12560873,12387573,173300
Республика Карелия,618056,498829,119227,620270,499694,120576
Республика Коми,830235,649451,180784,835554,653136,182418
Архангельская область ,1144119,896068,248051,1149574,898515,251059
Ненецкий автономный округ,43829,32108,11721,43913,32078,11835
Архангельская область без Ненецкого автономного округа,1100290,863960,236330,1105661,866437,239224
Вологодская область,1167713,847671,320042,1172201,849615,322586
Калининградская область,1002187,779052,223135,998393,777087,221306
Ленинградская область,1847867,1188855,659012,1830841,1172971,657870
Мурманская область,748056,689968,58088,750807,692866,57941
Новгородская область,600296,428234,172062,603386,429360,174026
Псковская область,629651,447785,181866,633099,449464,183635
г.Санкт-Петербург ,5383890,5383890,0,5367912,5367912,0
Республика Адыгея,454744,214151,240593,454060,213986,240074
Республика Калмыкия,272647,124228,148419,274030,124626,149404
Республика Крым,1911818,974881,936937,1912775,974835,937940
Краснодарский край,5648235,3116445,2531790,5625827,3095806,2530021
Астраханская область,1014065,677060,337005,1015790,677566,338224
Волгоградская область,2507509,1933741,573768,2514392,1936991,577401
Ростовская область,4202320,2863661,1338659,4211386,2867537,1343849
г. Севастополь,443212,412563,30649,439941,409269,30672
Республика Дагестан,3086126,1396715,1689411,3075006,1390196,1684810
Республика Ингушетия,497393,275891,221502,492718,272920,219798
Кабардино-Балкарская Республика,866219,451002,415217,866023,451170,414853
Карачаево-Черкесская Республика,465563,199465,266098,465934,199344,266590
Республика Северная Осетия-Алания,699253,449873,249380,700509,450369,250140
Чеченская Республика,1456951,534883,922068,1446966,518031,928935
Ставропольский край,2795243,1639343,1155900,2797958,1638109,1159849
Республика Башкортостан,4051005,2520864,1530141,4057149,2521444,1535705
Республика Марий Эл ,680380,453410,226970,681357,452388,228969
Республика Мордовия,795504,504261,291243,800280,505648,294632
Республика Татарстан,3898628,2998476,900152,3896456,2994523,901933
Удмуртская Республика,1507390,994360,513030,1510217,995044,515173
Чувашская Республика,1223395,770652,452743,1227256,769810,457446
Пермский край,2610800,1980789,630011,2616961,1984516,632445
Кировская область,1272109,983310,288799,1277673,984244,293429
Нижегородская область,3214623,2557706,656917,3224687,2565122,659565
Оренбургская область,1963007,1183529,779478,1970364,1186244,784120
Пензенская область,1318103,905388,412715,1324879,908784,416095
Самарская область,3183038,2541422,641616,3188276,2547801,640475
Саратовская область,2440815,1852923,587892,2451882,1858691,593191
Ульяновская область,1238416,936383,302033,1242517,937575,304942
Курганская область,834701,518507,316194,840119,520668,319451
Свердловская область,4315699,3666025,649674,4320477,3666440,654037
Тюменская область ,3723969,3010583,713386,3708185,2994400,713785
Ханты-Мансийский автономный округ-Югра,1663795,1538039,125756,1659435,1533169,126266
Ямало-Ненецкий автономный округ,541479,454254,87225,540013,452829,87184
Тюменская область без автономных округов,1518695,1018290,500405,1508737,1008402,500335
Челябинская область,3475753,2874978,600775,3484395,2881820,602575
Республика Алтай,218866,63845,155021,218465,63530,154935
Республика Тыва,324423,175463,148960,323073,174658,148415
Республика Хакасия,536167,373553,162614,536840,373222,163618
Алтайский край,2332813,1322614,1010199,2341447,1324506,1016941
Красноярский край ,2874026,2228980,645046,2875261,2227549,647712
Иркутская область,2397763,1888024,509739,2400979,1891038,509941
Кемеровская область,2674256,2300911,373345,2684566,2308808,375758
Новосибирская область,2793384,2210170,583214,2791116,2207248,583868
Омская область,1944195,1415644,528551,1952138,1419988,532150
Томская область,1077442,781232,296210,1077861,781018,296843
Республика Бурятия,983273,580752,402521,983892,580878,403014
Республика Саха (Якутия),967009,637451,329558,965669,635154,330515
Забайкальский край,1065785,729250,336535,1069296,730583,338713
Камчатский край,314723,246761,67962,315140,246797,68343
Приморский край,1902718,1472450,430268,1907877,1474772,433105
Хабаровский край,1321473,1084228,237245,1324887,1087602,237285
Амурская область,793194,535575,257619,795809,536729,259080
Магаданская область,141234,135691,5543,142663,136930,5733
Сахалинская область,489638,402519,87119,489910,402281,87629
Еврейская автономная область,159913,110061,49852,160964,110738,50226
Чукотский автономный округ,49663,35193,14470,49505,34994,14511
