name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1532400,1013900,518500,1536100,1020400,515700
Брянская область,1275300,881600,393700,1264400,874700,389700
Владимирская область,1441100,1119300,321800,1431900,1111100,320800
Воронежская область,2334800,1530000,804800,2331500,1536800,794700
Ивановская область,1060100,858400,201700,1054000,854000,200000
Калужская область,1009200,770500,238700,1008200,765300,242900
Костромская область,666400,466200,200200,661800,464700,197100
Курская область,1125700,735700,390000,1121600,739400,382200
Липецкая область,1172000,746900,425100,1165900,744600,421300
Московская область,7106200,5693300,1412900,7198700,5767600,1431100
Орловская область,785600,514500,271100,781300,513700,267600
Рязанская область,1151800,816900,334900,1148500,815100,333400
Смоленская область,982900,714700,268200,980500,711700,268800
Тамбовская область,1089700,639900,449800,1082600,637100,445500
Тверская область,1350100,1010100,340000,1342200,1004700,337500
Тульская область,1550300,1230800,319500,1544500,1219900,324600
Ярославская область,1271000,1044500,226500,1271000,1041099,229900
г. Москва,11541100,11541100,0,11612900,11612900,0
Республика Карелия,642600,501700,140900,639700,501400,138300
Республика Коми,899200,692700,206500,889800,687200,202600
Архангельская область включая Ненецкий автономный округ,1224900,927700,297200,1213500,924600,288900
Ненецкий автономный округ,42100,28600,13500,42400,29300,13100
Вологодская область,1201200,850800,350400,1198500,852900,345600
Калининградская область,941800,730400,211400,946800,733300,213500
Ленинградская область,1718600,1128300,590300,1733900,1133800,600100
Мурманская область,794100,737200,56900,788000,730700,57300
Новгородская область,632800,447300,185500,629800,444500,185300
Псковская область,671300,471400,199900,666900,467900,199000
г.Санкт-Петербург ,4899300,4899300,0,4953200,4953200,0
Республика Адыгея,439900,223800,216100,442400,207600,234800
Республика Калмыкия,288900,127300,161600,286700,127400,159300
Краснодарский край,5230000,2768500,2461500,5284500,2814300,2470200
Астраханская область,1009800,673400,336400,1015000,676700,338300
Волгоградская область,2607500,1982100,625400,2594800,1975400,619400
Ростовская область,4275200,2875400,1399800,4260600,2874200,1386400
Республика Дагестан,2914200,1317500,1596700,2930500,1322900,1607600
Республика Ингушетия,414500,159000,255500,430500,168800,261700
Кабардино-Балкарская Республика,859800,467900,391900,859000,466200,392800
Карачаево-Черкесская Республика,477400,206900,270500,474700,204700,270000
Республика Северная Осетия-Алания,712500,454400,258100,709000,453000,256000
Чеченская Республика,1275100,445200,829900,1302200,454400,847800
Ставропольский край,2785500,1593600,1191900,2787000,1600200,1186800
Республика Башкортостан,4072100,2465800,1606300,4064300,2472300,1592000
Республика Марий Эл ,695500,439500,256000,692400,441500,250900
Республика Мордовия,833300,504700,328600,825400,503100,322300
Республика Татарстан,3787500,2856400,931100,3803200,2878300,924900
Удмуртская Республика,1520400,1045000,475400,1518100,1046099,472000
Чувашская Республика,1250500,737000,513500,1247000,740400,506600
Пермский край,2633500,1975500,658000,2631100,1970000,661100
Кировская область,1338800,992400,346400,1327900,989600,338300
Нижегородская область,3307600,2611200,696400,3296900,2605400,691500
Оренбургская область,2031500,1213600,817900,2023700,1206100,817600
Пензенская область,1384000,930000,454000,1376500,930100,446400
Самарская область,3215300,2580900,634400,3214100,2581200,632900
Саратовская область,2519300,1878400,640900,2508800,1876300,632500
Ульяновская область,1290500,949400,341100,1282100,946300,335800
Курганская область,908800,547800,361000,896300,541100,355200
Свердловская область,4297300,3604700,692600,4307600,3617200,690400
Тюменская область включая автономные округа  ,3405300,2663600,741700,3459400,2721900,737500
Ханты-Мансийский автономный округ,1537200,1406500,130699,1561200,1430800,130400
Ямало-Ненецкий автономный округ,524900,445100,79800,536600,455900,80700
Челябинская область,3475600,2849600,626000,3480100,2857100,623000
Республика Алтай,206500,57200,149300,208400,59700,148700
Республика Бурятия,971500,568200,403300,971400,571600,399800
Республика Тыва,308100,163700,144400,309400,165800,143600
Республика Хакасия,532300,358500,173800,532200,359200,173000
Алтайский край,2417300,1324000,1093300,2407200,1327600,1079600
Забайкальский край,1106200,730000,376200,1099400,729800,369600
Красноярский край,2829100,2161600,667500,2838400,2170200,668200
Иркутская область,2428000,1932300,495700,2424400,1929100,495300
Кемеровская область,2761300,2357300,404000,2750800,2350500,400300
Новосибирская область,2666500,2061400,605100,2686900,2084199,602700
Омская область,1976600,1413000,563600,1974800,1414400,560400
Томская область,1048500,737000,311500,1057700,749600,308100
Республика Саха (Якутия),958200,614600,343600,955800,617100,338700
Камчатский край,321700,249000,72700,320200,248100,72100
Приморский край,1953500,1487100,466400,1950500,1488700,461800
Хабаровский край,1342900,1098700,244200,1342500,1093600,248900
Амурская область,828700,554000,274700,821600,550600,271000
Магаданская область,156500,149400,7100,154500,147800,6700
Сахалинская область,496700,396400,100300,495400,397900,97500
Еврейская автономная область,176300,119500,56800,174400,118700,55700
Чукотский автономный округ,50400,32700,17700,51000,33700,17300
